PLAYER,AGENTS,RND,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
qwq,"raze, jett, viper",259,0.86,194.6,0.90,63%,133.1,0.71,0.15,0.18,0.19,23%,24%,6/25,30,183,204,38,47,49
"canezera
TOR","neon, jett, clove",316,0.86,221.9,0.88,69%,147.6,0.75,0.26,0.21,0.16,29%,13%,2/16,36,238,271,83,66,52
"POISED
TSM","skye, breach, sova",348,0.86,164.5,0.83,74%,106.9,0.58,0.36,0.05,0.11,28%,9%,3/35,22,201,243,124,17,37
"smokay
OFF","cypher, killjoy, viper",222,0.86,170.8,0.82,64%,117.4,0.60,0.26,0.07,0.10,34%,9%,3/33,26,134,163,57,15,23
"Vorwenn
BAR","sova, clove, fade",277,0.86,167.0,0.82,70%,112.4,0.57,0.23,0.06,0.10,31%,22%,8/36,19,159,194,63,18,27
"Manny
DXG","breach, kayo, killjoy",268,0.85,195.2,0.82,61%,126.8,0.66,0.21,0.13,0.16,28%,4%,1/23,22,177,217,57,34,44
"Evilkyk
GLRS","fade, sova",380,0.85,158.5,0.82,71%,108.2,0.56,0.28,0.05,0.08,26%,15%,8/54,23,212,257,107,20,29
"Battison
SaD","gekko, sova, neon",209,0.85,208.1,0.85,60%,140.4,0.71,0.16,0.16,0.21,26%,6%,1/17,22,149,176,34,34,43
"E11ie
Even","gekko, sova, phoenix",252,0.85,179.3,0.79,58%,121.0,0.62,0.23,0.07,0.10,25%,14%,5/35,22,157,199,57,18,26
"devilasxa
O1O","breach, kayo, gekko",273,0.85,168.7,0.75,67%,113.6,0.57,0.39,0.04,0.08,29%,11%,4/38,19,155,206,107,12,23
"lissa
TBS","omen, cypher, viper",225,0.85,182.4,0.84,62%,122.3,0.64,0.23,0.07,0.14,35%,14%,6/43,21,145,173,51,15,31
"Mel
VLNT","omen, viper, brimstone",323,0.85,162.1,0.82,70%,107.4,0.59,0.36,0.04,0.13,30%,11%,4/35,26,191,234,117,13,41
"In0X
WVU","kayo, harbor, breach",284,0.85,175.0,0.75,70%,116.5,0.58,0.41,0.06,0.13,32%,15%,6/40,20,165,221,116,18,36
drope,"astra, omen, brimstone",234,0.84,160.2,0.80,65%,106.4,0.56,0.33,0.09,0.08,19%,,0/23,19,132,166,78,22,18
"babzzz
ZIK","killjoy, cypher, clove",297,0.84,189.4,0.87,62%,123.9,0.68,0.15,0.08,0.13,23%,,0/28,21,201,231,44,24,39
rain,"breach, fade, yoru",278,0.84,190.1,0.77,66%,125.1,0.65,0.30,0.08,0.11,24%,11%,5/44,22,180,234,83,21,31
"jas
JL","neon, jett, raze",218,0.84,193.8,0.86,67%,131.3,0.67,0.20,0.16,0.23,29%,33%,4/12,21,145,169,44,34,50
Shifty,omen,255,0.83,170.4,0.77,64%,113.0,0.62,0.35,0.08,0.13,31%,21%,7/33,22,157,203,89,20,33
"RIZEU
YDZ","omen, breach, brimstone",231,0.83,177.3,0.72,75%,113.9,0.56,0.51,0.06,0.12,24%,13%,2/15,18,129,179,117,14,28
"syfi
Argo","fade, sova, kayo",284,0.83,174.6,0.80,69%,118.8,0.61,0.24,0.08,0.11,27%,17%,4/23,20,173,215,69,22,31
"zeek
GN","sova, breach, gekko",201,0.83,163.1,0.81,67%,112.9,0.58,0.28,0.02,0.07,25%,6%,1/18,22,117,144,57,5,15
"SUPERPHROG
HERO","chamber, killjoy, cypher",333,0.83,171.8,0.85,61%,122.2,0.63,0.15,0.10,0.11,30%,13%,5/38,28,211,249,49,33,36
